"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"6个AI开源工具盘点：AI白帽查漏洞、24万星Agent框架、AI剪视频、AI求职14模式。每个都替你干一件你嫌烦的活，转发给做开发的朋友看看哪个能用上。

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxOunPFc-Eh2sjMzT4DCaJLzD7b42CI_3pW5ojywTsg","2026/07/03","9.33%","16.08秒",815,6,13,0,32,4,32,0,0,0,,,,
"今天GitHub上的6个项目，AI-For-Beginners微软12周AI入门课、astryx脸书开源设计系统、tolaria markdown知识库桌面app、council 18个AI角色议事、AiToEarn AI一键多发、logto给应用加登录认证，大厂的占一半普通人也能直接用，转发给想学AI或爱折腾工具的朋友。

#GitHub热门 #程序员 #开源 #AI #科技 #大厂开源 #设计系统 #转发","export/UzFfBgAAxOmnUFc3WUutjMzT4DCaXpLJyLngvPj_5qfY-_5U2w","2026/07/02","13.76%","19.75秒",2057,9,25,4,91,22,91,0,0,0,,,,
"今天GitHub上的5个项目，exercises-dataset收录433个健身动作、OmniRoute免费AI网关接231家供应商省95%token、strix让AI帮你找代码漏洞、herdr终端里同时跑多个AI agent、superpowers24万星的agent技能框架，一半普通人能直接用，转发给爱折腾或写代码的朋友。

#GitHub热门 #程序员 #开源 #AI #科技 #开源项目 #效率工具 #AI工具 #转发","export/UzFfBgAAxPKnRC8VCiijjMzT4DCawpX2NBIBG7P9r78U8s7-tw","2026/07/01","9.25%","22.65秒",1254,6,16,0,41,10,41,0,0,0,,,,
"转发给也在创业的朋友：学吧100 融资 1 亿美金招上万教师，最后被自己教师把学生一个个加到微信私下带走，网络效应被自己人拆散。冷启动烧钱获客 50-100 美金一个学生，六成首课即流失，2017 年猿辅导作业帮融 5 亿美金围剿，年底关门。

残骸淘到两条金子：一是双边平台必须同时解决流动性质量留存，二是这家能用 GPT 大模型重做，AI 自动出学习计划出练习题，毛利 70% 往上，教师只在批改作文模拟面试关键时刻出场。这个 AI 原生自适应学习的点子值得分享给做教育或做平台的朋友。

数据来源：loot-drop.io 创业坟场（AI 辅助总结，仅供参考）

#创业淘金者 #创业失败 #商业复盘 #创业 #财经 #学吧100 #在线教育 #创业教训","export/UzFfBgAAxPmnfEFwfS-gjMzT4DCaBG30krE07m_zfmu5c-gOkA","2026/06/30","3.50%","18.37秒",344,0,2,0,3,1,3,0,0,0,,,,
"今天GitHub上的5个安全研究项目，council让AI大佬替你拿主意、VulnClaw一句话挖漏洞、tolaria笔记变知识库、VeraCrypt给U盘上锁、maigret用户名扒全网公开信息，转发给做安全或爱折腾的朋友。

#GitHub热门 #程序员 #开源 #AI #科技 #安全研究 #开源项目 #效率工具 #信息安全","export/UzFfBgAAxOGncBJBIB6gjMzT4DCa7FO9Un9SZUw-lJCC0iXH8w","2026/06/30","8.45%","16.29秒",650,3,6,0,33,5,33,0,0,0,,,,
"转发给做开发的朋友，第27周GitHub一周涨星最猛的14个项目，最高一个OpenMontage一周涨18703星，AI编程助手变视频工作室。

#GitHub #开源 #AI #编程 #科技 #人工智能 #开发工具","export/UzFfBgAAxPmnIHBndxKhjMzT4DCaQgmphelOogkQy9O93HsHBw","2026/06/29","10.29%","20.77秒",661,2,7,2,24,9,24,0,0,0,,,,
"今天GitHub涨星最猛的5个AI工具，codebase-memory-mcp让AI看懂代码库、FluidVoice离线语音听写、Vibe-Trading交易agent、video-use代码剪视频、strix找漏洞修bug，转发给用得上的朋友。

#GitHub热门 #程序员 #开源 #AI #科技 #AI工具 #开源项目 #效率工具","export/UzFfBgAAxO2nDDQPMEShjMzT4DCaC7ZMPTe4cQfRx639jDkc4Q","2026/06/29","11.30%","19.84秒",1221,4,5,2,38,3,38,0,0,0,,,,
"微软自己做的 Windows 效率工具，三十多个，免费。
转发给用 Windows 的朋友，窗口分区、快速启动、跨机键鼠这些都能用上，官方出品，开源透明。

#PowerToys #Windows效率工具 #微软 #生产力工具 #桌面效率 #效率工具推荐","export/UzFfBgAAxJSnBBMgY2GmjMzT4DCa5HXkpTsME_fh4LuY31VvHg","2026/06/28","4.10%","20.11秒",732,4,8,1,8,2,8,0,0,0,,,,
"开源自动驾驶装进300多款车，还有AI能记住你说过的话、把文档秒变PPT。这几个GitHub项目挺实用，转给做AI应用和网站运营的朋友看看。

#GitHub热门 #开源 #AI #程序员 #科技","export/UzFfBgAAxOKndDVXKSynjMzT4DCawKfNil32EWHP-93InLsxWg","2026/06/28","9.53%","20.99秒",535,0,4,0,12,4,12,0,0,0,,,,
"有个能把PDF秒变成AI能读的格式，自托管旅行工具、AI联网能力、不用账号的加密聊天全都有。

转发给做开发的朋友，这几个开源工具值得看看。

#GitHub #开源 #程序员 #科技 #工具","export/UzFfBgAAxJWnEE4lUFunjMzT4DCaqrIf6vORq3nrnpX7Dn5SZg","2026/06/27","11.77%","36.49秒",721,2,16,2,27,8,27,0,0,0,,,,
"P2P五千家清零的教训。
微贷网烧光上亿美金。
监管套利是定时炸弹。
转发给身边创业的朋友。

#创业淘金者 #创业失败 #商业复盘 #创业 #财经","export/UzFfBgAAxOunCCAUcQqljMzT4DCa7ybh1j61_mGmVHwvJCTJTA","2026/06/26","7.31%","21.21秒",479,1,0,0,3,3,3,0,0,0,,,,
"6月26日GitHub热门项目盘点，design.md给AI写视觉说明书单日1407星，gstack配23个角色、MinerU把PDF变AI口粮、page-agent说话操控网页、TREK自托管旅行规划，5个AI工具都挺实用。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxOinGH8demKljMzT4DCaOCYL8NoC2aG82LMrhH3z8g","2026/06/26","8.41%","21.88秒",1701,3,13,4,44,4,44,0,0,0,,,,
"6月25日 GitHub 涨星榜，苹果居然没用 Docker，自己用 Swift 造了个更轻的原生容器，Mac 用户即装即用。

还有二十万星的成长型 AI 伙伴、一条命令克隆网站、一份订阅跑整支 AI 舰队。值得转发给做开发的朋友看看。

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxP6nBFwYGUjajMzT4DCaAnOGIgbqQDtMWMfwpTDMbA","2026/06/25","6.91%","19.12秒",810,4,5,0,26,5,26,0,0,0,,,,
"转发这期魔力耳朵复盘给创业的朋友。五千万美金融来，一道双减文件，教培帝国一夜归零。死因是政策一刀切加账本早崩。教训和能偷的点子都在视频里。数据来源 loot-drop.io 创业坟场，AI 辅助总结仅供参考。

#创业淘金者 #创业失败 #商业复盘 #双减 #财经","export/UzFfBgAAxJ2ncAMZTy7YjMzT4DCaIsWDMFmiT6FrR5k6eex6xg","2026/06/24","5.95%","17.99秒",420,0,0,1,0,0,0,0,0,0,,,,
"今天GitHub涨星王是AI视频工作室，转发给做开发的朋友看看。

#GitHub热门 #开源 #AI视频 #程序员 #科技","export/UzFfBgAAxOKnRCk4GzfYjMzT4DCaDSAtMDQS-zxusTkTsScEOQ","2026/06/24","-","0",0,0,0,0,0,0,0,0,0,0,,,,
"22亿美金烧出一片共享单车坟场。ofo小黄车死因写在账本上：单位经济为负还疯狂扩张250城，最后挪用押金崩盘。教训和能偷的点子都在视频里。数据来源 loot-drop.io 创业坟场，AI 辅助总结仅供参考。

#创业淘金者 #创业失败 #商业复盘 #ofo #财经","export/UzFfBgAAxO2ncFhHISrZjMzT4DCa-MlGbZ6GvlJ05GBb7nPsZQ","2026/06/23","6.33%","25.64秒",679,0,2,1,1,3,1,0,0,0,,,,
"今天GitHub涨星王是AI视频工具，转发给做开发的朋友看看。

#GitHub热门 #开源 #AI视频 #程序员 #科技","export/UzFfBgAAxISnbB9eRxPZjMzT4DCagQlWAnWOyFNrAD8KULRx8g","2026/06/23","11.43%","18.14秒",280,0,1,0,12,3,12,0,0,0,,,,
"第25周GitHub周榜，AI项目占了一大半，13个项目里8个跟AI有关，转发给做开发的朋友别错过。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxIGndHB4P3HejMzT4DCazKqPtxF4URPW9X4XGVEtuA","2026/06/22","10.88%","26.35秒",2233,5,29,4,67,20,67,0,0,0,,,,
"今日 6 个值得留意的开源项目。

#开源 #GitHub #AI #科技 #程序员","export/UzFfBgAAxJqnaEc-O37ejMzT4DCaYP_PhAeyODOftVerZ_ZuMg","2026/06/22","13.62%","24.56秒",4619,27,63,5,217,29,217,0,0,0,,,,
"转发给做开发的朋友，本期 GitHub 6 个项目都值得关注：抄大佬技能、网页变 app、短信自动转发。关注我，每天一份热门项目清单。

#GitHub #开源 #AI #科技 #程序员","export/UzFfBgAAxIWnTEkqMFXfjMzT4DCa6e0CNEOzPuBYxQjBa4VzXg","2026/06/21","10.34%","23.05秒",3732,13,43,2,176,10,176,0,0,0,,,,
"输入砍掉九成，AI 答案几乎一样。
今天 6 个 GitHub 热门项目，headroom 一天近四千星最猛。
还有 AI 帮剪视频、全球情报仪表盘、免费设计工具。
做开发的朋友，这几个工具转发给你看看，哪个性价比最高。

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxPOnADkifBXdjMzT4DCal3VBzU2ryzD229LRTCrblw","2026/06/20","10.63%","21.93秒",3820,10,26,9,99,19,99,0,0,0,,,,
"终端复用器 tmux，让远程会话永不掉线。
client-server 架构，一个二进制身兼两职。
做后端的朋友用得上，转发给需要的开发者。

#GitHub #开源 #程序员 #科技 #终端","export/UzFfBgAAxOWnCE4dX1_djMzT4DCaZi4VPu4QDzZtjhiXz9bCrg","2026/06/19","3.52%","30.13秒",1250,8,7,0,17,2,17,0,0,0,,,,
"今天 6 个项目杀入榜单，涨星最猛的是 codebase-memory-mcp，单日 2308 颗星，它把整个代码库索引成持久知识图谱，AI 查代码不用反复喂上下文，平均仓库毫秒级完成。还有一个不 root 就能删安卓预装的工具 Universal-Debloater，一个能自己部署的离线翻译 LibreTranslate，以及 Kong 维护的免费 API 客户端 insomnia。国产 GLM-5 开源主打从随手写代码到 AI 自己跑完整工程，Google 的 timesfm 用大模型思路做时间序列预测。点个关注，每天带你梳理值得关注的开源项目。

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxOqnbBZaEmTSjMzT4DCa057BkjXg17pTso90rGdqFQ","2026/06/19","9.06%","21.72秒",4405,18,48,7,149,17,149,0,0,0,,,,
"4万星的开源项目 yazi，让你终端里直接看图看视频。图片视频PDF代码全能预览，键盘流手不离键盘。31个模块6层架构，一个线程零把锁。转发给常泡终端的朋友

#GitHub #开源 #程序员 #效率工具 #科技","export/UzFfBgAAxJSnXF16ADHTjMzT4DCaRHzIR4olJh74KnXQzIWfag","2026/06/18","7.90%","19.03秒",923,3,3,2,15,1,15,0,0,0,,,,
"6个项目杀入GitHub涨星榜，有个把AI看代码的输入砍掉了99%。涨幅最高单日+1523星，还有给AI装眼睛读遍全网的、免root清安卓预装的、免费设计和项目管理工具。转发给做开发的朋友

#GitHub #开源 #程序员 #AI #科技
","export/UzFfBgAAxIanBFtZfn3TjMzT4DCaObpTi85cYnWN2AkFJwqJEg","2026/06/18","9.46%","26.17秒",5147,14,63,6,199,21,199,0,0,0,,,,
"转发给做建筑、做ToB的朋友。从 Katerra 的失败，看投标决策这个被忽视的SaaS切入点。

#商业 #SaaS #商业分析 #创业 #投资","export/UzFfBgAAxOOnAGM2TDTRjMzT4DCaDPiExag23rOTUYDr0oAV4w","2026/06/17","2.30%","19.73秒",695,1,2,0,3,3,3,0,0,0,,,,
"今日6个项目——VoxCPM(不用分词器多语言TTS,+413)、iroh(钥匙拨号去中心网络,+326)、meshery(画图管云原生)、teslamate(特斯拉自托管数据)、zvec(进程内向量库)、Universal-Debloater(免root清预装)。

#GitHub热门 #程序员 #开源 #AI #科技 #开源项目","export/UzFfBgAAxP6nHAs_DzHRjMzT4DCaSsh5hevCkd6hdM1lHayc4g","2026/06/17","13.14%","24.57秒",2435,9,21,0,62,25,62,0,0,0,,,,
"从一篇论文到全民革命，再到国产突围。转发给关注AI的朋友，一起看清这场军备竞赛。

#人工智能 #大模型 #科技前沿 #AI进化史 #华为","export/UzFfBgAAxOinIGY_XCfWjMzT4DCaUsn7jhcANydwLjLfyaXnMA","2026/06/16","7.35%","33.95秒",1020,0,7,1,5,2,5,0,0,0,,,,
"6月16日GitHub榜单，6个项目4个都是AI agent赛道。

NVIDIA亲自下场，SkillSpector +1079星今日最猛，用AI扫描AI agent里的恶意代码。

Agent-Reach +1045星，给AI agent装上眼睛读遍全网平台，零API费。

转发给做开发的朋友，今天一起看AI agent赛道爆发。

#GitHub热门 #程序员 #开源 #AI #科技 #人工智能","export/UzFfBgAAxJanHEsGcwLWjMzT4DCa3sA6vl4iMzKru0qRywOv1g","2026/06/16","16.68%","27.56秒",7836,24,77,7,363,87,363,0,0,0,,,,
"转发给做开发的朋友，今天6个项目值得看，AI审AI涨星962。

#GitHub热门 #程序员 #开源 #AI #科技 #人工智能","export/UzFfBgAAxJynZFV1UBjXjMzT4DCawDdz8nKUfOAMZcL-cGN87g","2026/06/15","11.65%","22.98秒",1133,1,4,4,29,4,29,0,0,0,,,,
"第24周 GitHub 周榜速览，13 个项目分 4 组。AI审AI涨星962。

#GitHub热门 #程序员 #开源 #AI #科技 #人工智能","export/UzFfBgAAxOGnEEgOWnjXjMzT4DCafsytgUTZo5fzDjehuZm9hg","2026/06/15","10.02%","33.16秒",2884,9,33,5,114,28,114,0,0,0,,,,
"6月14日GitHub杀入一批猛项目，AI Agent相关占了一半，还有工具把大模型推理延迟砍掉一大半。转发给做开发的朋友看看。

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxJ-naE4mckjUjMzT4DCazzZ2SkaCLwsFArxyeO_nrQ","2026/06/14","16.29%","25.63秒",12944,56,135,12,569,134,569,0,0,0,,,,
"5742万人围观的公告。上线4天的旗舰模型，因管制全量下架。同一天，国产GLM-5.2宣布开源。1M上下文，MIT协议，稳。智谱当前的开源旗舰大模型。封锁守门，开源开路。差距在算力，不在脑力。关注我，一起看懂AI。#智谱GLM #GLM5 #开源 #人工智能 #国产AI","export/UzFfBgAAxP-ncEMRBmvVjMzT4DCaras4u8-bcjoWZO_rvtl91A","2026/06/13","9.69%","21.02秒",1176,0,3,0,3,1,3,0,0,0,,,,
"刷到转发给求职的朋友。Career-Ops把740次试错做成开源系统，提示词即代码，AI自己改自己的评估规则，7平台对接七维评估。

#开源 #求职 #程序员 #GitHub #面试 #科技","export/UzFfBgAAxPunLAQOOVLVjMzT4DCanP7fCKL4cvWmVcrS3n0vyQ","2026/06/13","2.60%","16.66秒",578,4,4,0,11,0,11,0,0,0,,,,
"6月13日 GitHub 盘点：Apple 容器+3513星、PowerToys效率工具、LMCache推理加速等6项目
今天 6 个项目从容器到效率工具到推理加速，开源正在把专业能力送到每个人手上。三连支持一下，下期见

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxISnMC8HWAXKjMzT4DCaMbxewzyCWF3PT5hRvIKRtA","2026/06/13","9.81%","26.06秒",2251,6,20,3,48,12,48,0,0,0,,,,
"这条视频，人类没有参与。🔥
它是一个开源工具——ClipForge，从文字到画面，自动锻造出来的。

9道工序连成流水线，65个组件搭出每一帧，4颗引擎之心盯紧每一步。
内容丢进去，成片走出来。

而它把这一切，都开源了。
开源不是交换，是把火种，递到下个人手里。

一个人写下工具，帮几十个人；几十个人分享，就点燃几百个灵感。
当分享成为习惯，进步不是加法，是乘法。

星火，可以燎原。
照亮每一个想表达的人。

而你，就是那颗最新的星 ✨
觉得有意思，转发给同样好奇开源的朋友，让火种传得更远。

#开源 #程序员 #GitHub #星火燎原 #科技","export/UzFfBgAAxOqnMCN0YTPLjMzT4DCak7WIPf2oz5iRmHuzP-NG1A","2026/06/12","8.97%","22.28秒",881,3,4,2,27,6,27,0,0,0,,,,
"人力导师一小时100-500块，AI一次2分钱，差2.5万倍，哈佛实验效果还翻倍
Byju's 220亿归零，Coursera蒸发92%，死亡公式凑齐就完蛋
但Unilever省百万英镑，PwC投10亿，IBM要训200万人
新打法：嵌入工作流，按效果收费不按席位

转给做培训的朋友，这个赛道正在洗牌

#企业AI #AI培训 #商业分析 #人工智能","export/UzFfBgAAxJSnBEgzHxPLjMzT4DCahGYPha5x5ivak4yN3nSn-g","2026/06/12","2.42%","22.41秒",662,0,5,0,3,0,3,0,0,0,,,,
"转发给做开发的朋友！苹果官方出容器工具了，三万两千星。AI 技能生态今天大爆发，agent-skills 单日涨三千多星，superpowers 已经二十二万星。连 PM 工作流都被拆成一百多个可调用技能了。","export/UzFfBgAAxP-nfFJubGzLjMzT4DCaxgZFjyfLbusKurndbHLd-g","2026/06/12","8.98%","18.16秒",4967,11,46,6,108,31,108,0,0,0,,,,
"GitHub今日热门6个项目速览：苹果官方容器工具（+1611星）、85K星的AI一键视频生成MoneyPrinterTurbo、22万星的Shell脚本AI Agent方法论superpowers、43.6K星的计算机视觉工具库supervision、3000站点的OSINT情报工具maigret、连续霸榜的AI跨平台研究工具last30days。本期重点：苹果亲自下场做容器工具，打破容器等于Docker的认知

#GitHub #开源 #AI #编程 #科技前沿 #开发者","export/UzFfBgAAxPOnTBgLVEPIjMzT4DCa4cUKyzLHAvdoly5L6ar0sg","2026/06/11","13.32%","22.21秒",6496,12,43,4,213,38,213,0,0,0,,,,
"今天 GitHub 榜单几乎被 AI 项目霸榜——自动调研、一键求职、AI 重构代码、产品经理也能用 AI 干活了。这不是未来，这是正在发生的事。

#GitHub #AI工具 #科技圈 #程序员日常","export/UzFfBgAAxOCnNHFkO3zJjMzT4DCaT9P4A6dPq9TfgJYnLzf0jw","2026/06/10","15.35%","22.51秒",4978,27,61,7,191,58,191,0,0,0,,,,
"转发给做开发的朋友，这个开源工具零成本打通社交平台和内容社区

#AI #开源 #程序员","export/UzFfBgAAxPKnEBh_AC_PjMzT4DCaRYjEHASFtl1KysjaPxatUw","2026/06/09","4.24%","25.64秒",802,1,9,2,25,4,25,0,0,0,,,,
"supervision：不懂CV算法也能做计算机视觉，42000星的项目把检测跟踪标注全打包了
Google出了个Agent技能库，给AI装上搜索和数据分析能力
career-ops五万星的AI求职系统，14种技能写简历准备面试一条龙
CopilotKit三万四千星，创造了AG-UI协议定义Agent怎么跟界面对话
转发给做开发的朋友看看

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxK-iEAFheGXPjMzT4DCa7j51TN0K1Q5xCcPDt_7cAg","2026/06/09","15.73%","23.09秒",2053,6,22,2,81,14,81,0,0,0,,,,
"从 Linus 写 Linux 到每一个提交 PR 的开发者，开源精神本质上是一种信仰。当星火汇聚，就能点燃整个草原。你关注这个频道，就已经是其中一簇星火了。你觉得开源精神最打动你的是什么？评论区告诉我#开源 #星火燎原 #GitHub星探 #知识分享","export/UzFfBgAAxKCiAFR7RWTPjMzT4DCaxK_JSrmbZtevvk9jT7ESYQ","2026/06/09","4.50%","18.49秒",821,2,13,2,6,8,6,0,0,0,,,,
"有个向量搜索引擎叫turbovec，比同类快20%，1000万条向量只占4G内存
微软新出的pg_durable更离谱，直接把PostgreSQL变成工作流引擎，不用再装Airflow
还有个47K星的全流程AI Agent叫goose，转发收藏不迷路

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxKiiQFtQZjnMjMzT4DCaFc8JLsKvMxMgHPZOKZc-NA","2026/06/08","10.92%","28.47秒",1831,5,18,2,51,9,51,0,0,0,,,,
"AI Agent 这周直接霸榜！
ECC 20万星，给AI装上技能和记忆
hermes-agent 18万星，越用越懂你的智能体
headroom 压缩AI输入95%，答案还不变！
taste-skill 专治AI平庸输出
markitdown 微软出品，文件全能转Markdown
MoneyPrinterTurbo AI一键出短视频
还有免费全网搜索、开源Notebook LM...

关注GitHub星探，每周带你刷榜！

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxISiTEA8P3_MjMzT4DCa-TBTtOLyhaRKh4LveUkguw","2026/06/08","10.10%","28.62秒",2118,11,30,23,87,14,87,0,0,0,,,,
"PaddleOCR不只是OCR工具，它是一个完整的文档AI引擎。能识别文字、解析表格、提取公式、看懂文档，甚至能和AI大模型对话。最新VL模型在权威评测拿了96.33%准确率，刷新SOTA。表格、公式、印章三合一全覆盖，开源领域独一无二。从浏览器到服务器，10种以上部署方式，MCP和LangChain生态集成最完整。全部开源Apache 2.0，CPU就能跑，pip install一行搞定。

关注GitHub星探，带你拆解更多好项目

#GitHub热门 #程序员 #开源 #AI #科技 #OCR #文档解析 #PaddleOCR","export/UzFfBgAAxNmhHDpgfhLNjMzT4DCaB-W5xB0tmqvwgbArWOWUuQ","2026/06/07","3.77%","25.45秒",6211,37,63,9,284,32,284,0,0,0,,,,
"先说superpowers，22万星技能框架，一天又涨千星
Agent-Reach更猛，零API费搜全网，昨天127星今天冲到700
还有career-ops用AI帮你找工作，14种模式一条龙

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxKOibBIifF_NjMzT4DCaIATjMePi1c5po2pzZ-5j5w","2026/06/07","14.24%","27.56秒",5127,32,70,1,229,49,229,0,0,0,,,,
"一个开源项目，28K 星标，能让你的电脑断网后变成完整的知识库——AI 聊天、百科全书、离线地图、在线课程，六个工具全部本地跑。零联网零遥测零依赖，18 年网络工程师做的。

#开源项目 #离线知识库 #Docker #断网生存 #程序员","export/UzFfBgAAxI6iLFg9QjjDjMzT4DCa0yQVim2YlIxHNnL6INqc8w","2026/06/06","7.32%","23.45秒",1722,6,19,2,61,6,61,0,0,0,,,,
"盘点 6 月 6 日 GitHub 热门项目，涨星最猛的 headroom 能压缩 AI 输入 95% token，答案不变；MiroFish 用群体智能做预测；mempalace 是跑分领先的开源 AI 记忆系统。还有 PaddleOCR 文档识别
#GitHub #程序员 #开源 #AI #科技","export/UzFfBgAAxKOiNCgEChXDjMzT4DCaf_q1XxBPEs9bcwoITeMBZQ","2026/06/06","10.40%","18.10秒",2009,9,21,2,55,10,55,0,0,0,,,,
"OpenTalking 把语音识别、大模型、TTS、数字人驱动、实时通信，5个模块串成一条流水线
51行代码的注册表，就能热插拔任意模型
6种数字人、4种部署模式，从0GPU到多卡调度全覆盖
42K行Python + 308行AI协作指南，同龄项目里罕见

关注GitHub星探，每天发现好项目

#GitHub #开源 #数字人 #AI #开源项目","export/UzFfBgAAxNGhQD9EdjfAjMzT4DCak7ubsLWfIfgK8NK7DFGuIQ","2026/06/05","8.18%","20.94秒",1540,4,13,2,52,6,52,0,0,0,,,,
"5个GitHub项目，有个工具把给AI的输入砍掉95%，答案一模一样

headroom 连续两天霸榜，单日涨星3142。给大模型减肥，token少给95%，干的活一点不少。

GitHub官方出品的spec-kit，10万星级别项目，说先写需求再写代码。
英伟达用游戏引擎教机器人走路，虚拟训练真实部署。
百度PaddleOCR，图片拖进去秒变数据，100多种语言免费用。


#GitHub热门 #开源 #AI #程序员 #科技","export/UzFfBgAAxNOhKCYoXWnAjMzT4DCa_8iuplInaZb4VPedU64IhA","2026/06/05","14.71%","25.16秒",7394,34,66,4,318,57,318,0,0,0,,,,
"把token砍掉95%，AI的回答居然一模一样！今天GitHub最火的项目headroom做到了。还有caveman让AI像穴居人说话省65%token，hermes-agent 18万星Agent来了，ECC又涨2000+冲到20万星。关注GitHub星探，每天带你看最火的开源项目。#GitHub #开源 #AI #token压缩 #hermes-agent #ECC #编程 #科技","export/UzFfBgAAxJiiFEViIQrBjMzT4DCaqxvBWsLfD3ACG2H4KNu0Zw","2026/06/04","7.57%","19.98秒",6470,35,55,9,232,33,232,0,0,0,,,,
"今天GitHub Trending出现一个20万星的怪物项目ECC，给AI编程工具装上四件套直接开挂。还有token压缩神器headroom、会成长的Agent——hermes，容器安全全家桶trivy等6个宝藏项目。#github #开源 #编程 #AI #程序员 #科技 #GitHub星探 #AI编程","export/UzFfBgAAxNahBHVkKU7BjMzT4DCappxT19SM23XI8gyN3XvLmQ","2026/06/04","12.33%","26.73秒",25226,129,283,18,1416,275,1416,0,0,0,,,,
"一个号称""AI实时姿态估计""的开源项目，狂揽54000 Star、94.2%的好评率，结果全靠刷！Python版本代码是精心设计的骗局，Rust版本号称重写实则继续造假，连安全评级都是F级！今天带你彻底揭开RuView的真面目，教你如何识别虚假开源项目，别再被GitHub上的虚假数据骗了！#开源安全 #GitHub #技术揭秘 #编程 #网络安全","export/UzFfBgAAxJ6iFBdnIUrBjMzT4DCaSiZ06EykJcewugslld_Lrw","2026/06/04","2.83%","26.64秒",1589,6,13,1,20,6,20,0,0,0,,,,
"6个赛道帮你过滤了停更项目，只留活跃的：🎨 AI绘画 → ComfyUI（11.5万星，每日更新）🎤 语音克隆 → GPT-SoVITS（一分钟克隆声音）🎭 虚拟主播 → Open-LLM-VTuber（完全本地运行）🎮 游戏工具 → BetterGI（CV驱动，安全）📺 追番 → Auto_Bangumi + Suwayomi + Bangumi从零门槛到深度玩家，四级入门路径全部开源免费。收藏这篇，慢慢研究。#开源工具 #AI绘画 #二次元 #语音克隆 #程序员必备","export/UzFfBgAAxJ2iQHVGGkLGjMzT4DCaqjobJJbpE3fPdvLfYHph1Q","2026/06/03","2.10%","26.70秒",1428,2,9,2,35,5,35,0,0,0,,,,
"给AI输入瘦身95%答案还不变
20万星编程Agent系统给AI加肌肉记忆
微软markitdown连续霸榜又涨3600星
还有把AI Agent搬手机上的、用图谱做安全调查的、不用分词器做语音克隆的
关注我每天看GitHub热门

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxNehDEwuZzfHjMzT4DCakhbHkNySLnaDQKZoq97KTQ","2026/06/03","14.61%","25.62秒",6221,26,54,4,238,51,238,0,0,0,,,,
"40多个AI项目同时涌入游戏开发，从写代码到搭关卡到美术生成，全部被AI接管了。最炸裂的不是某个工具多强，而是MCP协议让AI和Unity、Unreal直接对话——Agent从补代码进化到搭建完整关卡。六个赛道：自主游戏引擎、MCP协议桥接、Claude Studios全流程工作室、AI美术管线、商业化变现、还有本地大模型驱动的单机方案。每个赛道都有开源项目可以今天就用。5分钟讲透整个AI游戏开发生态，收藏备用慢慢看。#AI游戏开发 #游戏开发 #AI工具 #独立游戏 #科技前沿","export/UzFfBgAAxNahJFATKSvEjMzT4DCat8Wl5BKderNrB4bWCRJ6Mw","2026/06/02","1.98%","20.65秒",858,6,6,1,19,5,19,0,0,0,,,,
"5个项目单日最高涨3375星，3个新面孔首次上榜！AI短视频工具MoneyPrinterTurbo连爆两天，今天又涨3375星，文案配音画面字幕一条龙全开源Scrapling反爬框架日增翻倍到1486星，网站越封它越能爬impeccable首次上榜就带着32K星，发现AI的短板不是智商是审美oh-my-pi终端编程Agent，哈希锚定编辑+内置LSP浏览器heretic用数学方法解开大模型审查，让你看到AI真正知道什么关注我，每天带你刷GitHub热门项目#GitHub #AI编程 #开源项目 #程序员 #科技资讯","export/UzFfBgAAxNGhVDZyKQ_EjMzT4DCazvmkN3aTMlhZRsRWn7szKw","2026/06/02","17.78%","30.44秒",1180,3,14,5,39,2,39,0,0,0,,,,
"本周GitHub被AI Agent技能刷屏了！14个项目、4个领域，一个20万星的Agent优化系统领跑全场

技能生态最猛：ECC直接20万星，Agent性能拉满。微软markitdown 13.5万星，任何文件一键变Markdown。还有让AI有审美观的taste-skill、754个网络安全技能映射五大框架

Rust正在吃掉基建层，语音AI开源替代Vapi，微软出手做了Agent治理工具包

关注GitHub星探，每周带你扫一遍最热开源项目

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxK-iJH5iOnnFjMzT4DCaGdgQ9yCsWsLZpJuCLQqaEQ","2026/06/01","9.70%","20.42秒",7823,46,61,5,299,44,299,0,0,0,,,,
